+;340282366920938463463374607431768211455;340282366920938463463374607431768211455;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;0;
+;340282366920938463463374607431768211455;1;
+;340282366920938463463374607431768211455;18446744073709551615;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;0;
+;340282366920938463463374607431768211454;1;
+;340282366920938463463374607431768211454;18446744073709551615;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;0;0;
+;0;1;
+;0;18446744073709551615;
+;0;340282366920938463463374607431768211454;
+;0;18446744073709551616;
+;1;1;
+;1;18446744073709551615;
+;1;340282366920938463463374607431768211454;
+;1;18446744073709551616;
+;18446744073709551615;18446744073709551615;
+;18446744073709551615;340282366920938463463374607431768211454;
+;18446744073709551615;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;18446744073709551616;18446744073709551616;
+;108306203826930611731892953470175197380;250929146664377231102197692809849811540;
+;243730357218977557421792644704131572558;9821185259360572600719330880740040692;
+;237573835100185454137929143041589963490;317020789991418702593494907925570962721;
+;28803705608410173268263805511230665932;200190588177733503169013390480071748112;
+;116387767639872637798943196788315096941;263424269829341327123763694199350431722;
+;137363870532005080405871960703224967004;134130270281137910614234099324050935443;
+;153699422671023711248085237236373947846;320024665204589053971287532562812658694;
+;239724470184950430374297852280854746771;94348983033300293172709526997965663892;
+;152174304312516988654028473100477438833;8000752310735423311978708204366876363;
+;149540326913629936766844195534294557568;126604138966014301485553267867547948937;
+;105217920495115296839960145118669280973;174039944799532775335937458320129845658;
+;50889389205826365772450845788884057244;164278993322004284826585113487810477742;
+;160570461121002032626416315621722162875;142905556477141067215381303035695499277;
+;87728273106063151612227672597682611916;252107617615371563374339797231101291485;
+;253149708617536488500884472610971016789;315859694930059912191970037585363588182;
+;300593616376537787771800244320247095744;325811501253233323672316550774043243000;
