+;340282366920938463463374607431768211455;340282366920938463463374607431768211455;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;0;
+;340282366920938463463374607431768211455;1;
+;340282366920938463463374607431768211455;18446744073709551615;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;0;
+;340282366920938463463374607431768211454;1;
+;340282366920938463463374607431768211454;18446744073709551615;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;0;0;
+;0;1;
+;0;18446744073709551615;
+;0;340282366920938463463374607431768211454;
+;0;18446744073709551616;
+;1;1;
+;1;18446744073709551615;
+;1;340282366920938463463374607431768211454;
+;1;18446744073709551616;
+;18446744073709551615;18446744073709551615;
+;18446744073709551615;340282366920938463463374607431768211454;
+;18446744073709551615;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;18446744073709551616;18446744073709551616;
+;304032073391184524188082560551061529310;289231326736512546890628260828455709656;
+;106264120371348310163125679199606268195;165452480744556473522664919194020565221;
+;188954371234174263515473862281915103491;172291625300345774185241024483332287357;
+;110870736428129360770105962398268137913;3378349576340001465763456856193855034;
+;161666512829944091916480916088747593041;330816948393834838467602106640096015046;
+;33304372938829865981185613372867272068;306559526109485462406669334300384555738;
+;139461780255820314805992508598096806893;244791365016358917329461996765980027964;
+;29282453915203075742979548721390378226;290500591291518204618571445408046118149;
+;153834787137984318029727787351555345922;275673425182050874612718031014792170157;
+;93941384307512302657737488763712763862;309066620168950319535840321637224424907;
+;177303153413818543167784866083953313091;67079917845746530621338091882139671005;
+;185825845275115156733864318324456167933;223057438925840911308487259212949624538;
+;210588644731232825449130748484833806886;327014921124641150247440210895739338107;
+;110735686486518668136963620002050791652;53273493649386761159742887979704013834;
+;217697096673179360899454444136859601808;296111069722330071908893343134324556019;
+;297777509568891142351307134832483252396;18936778513260976642807848356905935353;
