+;340282366920938463463374607431768211455;340282366920938463463374607431768211455;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;0;
+;340282366920938463463374607431768211455;1;
+;340282366920938463463374607431768211455;18446744073709551615;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;0;
+;340282366920938463463374607431768211454;1;
+;340282366920938463463374607431768211454;18446744073709551615;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;0;0;
+;0;1;
+;0;18446744073709551615;
+;0;340282366920938463463374607431768211454;
+;0;18446744073709551616;
+;1;1;
+;1;18446744073709551615;
+;1;340282366920938463463374607431768211454;
+;1;18446744073709551616;
+;18446744073709551615;18446744073709551615;
+;18446744073709551615;340282366920938463463374607431768211454;
+;18446744073709551615;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;18446744073709551616;18446744073709551616;
+;195158326429759925828205178356525735977;303464930692717814473439377455192007710;
+;264713182821134276277844860070206955968;68312170328870345123927173249886202041;
+;29337504003829570465700099471387842006;105772036023128842512208228647521765812;
+;6332058809932948827705667609675502810;184697458237293396695276676799814189153;
+;185111185809413465346679798917533908569;88161479957231687503846765458966980107;
+;209889827780719598275986479584562135246;69177004302814971435680866842076542548;
+;248856603632360979352962879442187240871;59553811847279829733228240930965127020;
+;105986720128633123222248675743277371900;120862294167420384779918473405467414739;
+;56107454751910283814934940495552944149;290783950532573750231162398310097392850;
+;179298069539249979917702848600034351701;267333493798044114102222604770198282867;
+;90535793135195431475154254475801692119;138683610997938605507209429016859886525;
+;60953320074973888634429643969188852690;245828497880923586796975923977854629648;
+;131517028208556069203376081618182505449;178594491319627792208864810582754124942;
+;112430116000531305774873939466743015458;62487253227457576677703000547607598748;
+;179272381223201510410300440276749558251;130916733514909877193688652163450421661;
+;339998244873856660513484983315216788465;231860721278816816570290145394537704625;
