+;340282366920938463463374607431768211455;340282366920938463463374607431768211455;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;0;
+;340282366920938463463374607431768211455;1;
+;340282366920938463463374607431768211455;18446744073709551615;
+;340282366920938463463374607431768211455;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211455;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;0;
+;340282366920938463463374607431768211454;1;
+;340282366920938463463374607431768211454;18446744073709551615;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;0;0;
+;0;1;
+;0;18446744073709551615;
+;0;340282366920938463463374607431768211454;
+;0;18446744073709551616;
+;1;1;
+;1;18446744073709551615;
+;1;340282366920938463463374607431768211454;
+;1;18446744073709551616;
+;18446744073709551615;18446744073709551615;
+;18446744073709551615;340282366920938463463374607431768211454;
+;18446744073709551615;18446744073709551616;
+;340282366920938463463374607431768211454;340282366920938463463374607431768211454;
+;340282366920938463463374607431768211454;18446744073709551616;
+;18446744073709551616;18446744073709551616;
+;262313992638492419647822140737824463019;237034375319547864623531651678385499817;
+;247476041329663896441572537147339187647;140873409433617902181528504785965055294;
+;85838193859885911067040917437555035945;32468736951760177791744402789125423668;
+;34277336741182998787817458980618056398;261104883289202283712597317271707399513;
+;191586603420193324384490438962745114187;136734278573910356924922990442516974474;
+;23629605475296447300697596079328103519;88083576985361311396953383229654960577;
+;336667190726860290129147049737060512834;306287378690096186685035507020505502909;
+;264961666230177413292777988036398699570;196280429575418308069160868024068262504;
+;96629293343967265616348577417988982420;87708383341779641178193187265713470216;
+;284719595840864519222736977245706064238;102433202850847262121669378924890451825;
+;308658452994787221846684224063333870235;219027136893895487209137180834766299776;
+;274066592942523489557216668903192570078;45118292770262961212325871118390981888;
+;198949137383165699896855047633811877686;98903199585698399888753177289185947228;
+;11837079016220330542466010702765008032;36974180757781452540113692261042384372;
+;105656300569424304955614773398301961033;83117952882668865009707917368744640487;
+;165824234808217250245846373631455142613;20257627283629932070683837935144018728;
